Individual,Class,Amount,Unit
RedCabbageVitaminC,SubstancePortion,57,mg/100g
NapaCabbageCalcium,SubstancePortion,77,mg/100g
NapaCabbageCarbohydrate,SubstancePortion,2.2,g/100g
NapaCabbageFat,SubstancePortion,0.2,g/100g
NapaCabbageFoodEnergy,SubstancePortion,12,cal/100g
NapaCabbageIron,SubstancePortion,0.8,mg/100g
NapaCabbagePotassium,SubstancePortion,230,mg/100g
NapaCabbageProtein,SubstancePortion,1.1,g/100g
NapaCabbageSodium,SubstancePortion,4,mg/100g
NapaCabbageVitaminA,SubstancePortion,0.014,mg/100g
NapaCabbageVitaminC,SubstancePortion,27,mg/100g
GreenCabbageCalcium,SubstancePortion,40,mg/100g
GreenCabbageCarbohydrate,SubstancePortion,5.58,g/100g
GreenCabbageFat,SubstancePortion,0.12,g/100g
GreenCabbageFoodEnergy,SubstancePortion,24,cal/100g
GreenCabbageIron,SubstancePortion,0.47,mg/100g
GreenCabbagePotassium,SubstancePortion,170,mg/100g
GreenCabbageProtein,SubstancePortion,1.44,g/100g
GreenCabbageSodium,SubstancePortion,18,mg/100g
GreenCabbageVitaminA,SubstancePortion,0.005,mg/100g
GreenCabbageVitaminC,SubstancePortion,36.6,mg/100g
ParsleyCalcium,SubstancePortion,138,mg/100g
ParsleyCarbohydrate,SubstancePortion,6.33,g/100g
ParsleyFat,SubstancePortion,0.79,g/100g
ParsleyFoodEnergy,SubstancePortion,36,cal/100g
ParsleyIron,SubstancePortion,6.2,mg/100g
ParsleyPotassium,SubstancePortion,554,mg/100g
ParsleyProtein,SubstancePortion,2.97,g/100g
ParsleySodium,SubstancePortion,56,mg/100g
ParsleyVitaminA,SubstancePortion,0.421,mg/100g
ParsleyVitaminC,SubstancePortion,133,mg/100g
MintCalcium,SubstancePortion,199,mg/100g
MintCarbohydrate,SubstancePortion,14.89,g/100g
MintFat,SubstancePortion,0.94,g/100g
MintFoodEnergy,SubstancePortion,70,cal/100g
MintIron,SubstancePortion,5.08,mg/100g
MintPotassium,SubstancePortion,569,mg/100g
MintProtein,SubstancePortion,3.75,g/100g
MintSodium,SubstancePortion,31,mg/100g
MintVitaminA,SubstancePortion,0.424,mg/100g
MintVitaminC,SubstancePortion,31.8,mg/100g
BasilCalcium,SubstancePortion,177,mg/100g
